src_lang,tgt_lang,src_text,tgt_text
sat_Olck,hin_Deva,ᱩᱱᱤ ᱯᱩᱛᱷᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟ,वह किताब पढ़ता हूँ
hin_Deva,sat_Olck,वह स्कूल जाता हूँ,ᱩᱱᱤ ᱤᱛᱩᱱ ᱚᱲᱟᱜ ᱤᱧ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱩᱱᱤ ᱤᱛᱩᱱ ᱚᱲᱟᱜ ᱤᱧ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ,वह स्कूल जाता हूँ
hin_Deva,sat_Olck,वह गाना गाता हूँ,ᱩᱱᱤ ᱥᱮᱨᱮᱧᱤᱧ ᱥᱮᱨᱮᱧ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱩᱱᱤ ᱥᱮᱨᱮᱧᱤᱧ ᱥᱮᱨᱮᱧ ᱠᱟᱱᱟ,वह गाना गाता हूँ
hin_Deva,sat_Olck,वह खाना खाता हूँ,ᱩᱱᱤ ᱫᱟᱠᱟᱧ ᱡᱚᱢ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱩᱱᱤ ᱫᱟᱠᱟᱧ ᱡᱚᱢ ᱠᱟᱱᱟ,वह खाना खाता हूँ
hin_Deva,sat_Olck,वह पानी पीता हूँ,ᱩᱱᱤ ᱫᱟᱜ-ᱤᱧ ᱧᱩᱭ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱩᱱᱤ ᱫᱟᱜ-ᱤᱧ ᱧᱩᱭ ᱠᱟᱱᱟ,वह पानी पीता हूँ
hin_Deva,sat_Olck,वह काम करता हूँ,ᱩᱱᱤ ᱠᱟᱹᱢᱤᱧ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱩᱱᱤ ᱠᱟᱹᱢᱤᱧ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ,वह काम करता हूँ
hin_Deva,sat_Olck,वह चित्र बनाता हूँ,ᱩᱱᱤ ᱪᱤᱛᱟᱹᱨᱤᱧ ᱵᱮᱱᱟᱣ ᱮᱫᱟ
sat_Olck,hin_Deva,ᱩᱱᱤ ᱪᱤᱛᱟᱹᱨᱤᱧ ᱵᱮᱱᱟᱣ ᱮᱫᱟ,वह चित्र बनाता हूँ
hin_Deva,sat_Olck,वह दौड़ता हूँ,ᱩᱱᱤ ᱤᱧ ᱫᱟᱹᱲ ᱮᱫᱟ
sat_Olck,hin_Deva,ᱩᱱᱤ ᱤᱧ ᱫᱟᱹᱲ ᱮᱫᱟ,वह दौड़ता हूँ
hin_Deva,sat_Olck,वे किताब पढ़ता हूँ,ᱩᱱᱠᱩ ᱯᱩᱛᱷᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱩᱱᱠᱩ ᱯᱩᱛᱷᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱠᱟᱱᱟ,वे किताब पढ़ता हूँ
hin_Deva,sat_Olck,वे स्कूल जाता हूँ,ᱩᱱᱠᱩ ᱤᱛᱩᱱ ᱚᱲᱟᱜ ᱤᱧ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱩᱱᱠᱩ ᱤᱛᱩᱱ ᱚᱲᱟᱜ ᱤᱧ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ,वे स्कूल जाता हूँ
hin_Deva,sat_Olck,वे गाना गाता हूँ,ᱩᱱᱠᱩ ᱥᱮᱨᱮᱧᱤᱧ ᱥᱮᱨᱮᱧ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱩᱱᱠᱩ ᱥᱮᱨᱮᱧᱤᱧ ᱥᱮᱨᱮᱧ ᱠᱟᱱᱟ,वे गाना गाता हूँ
hin_Deva,sat_Olck,वे खाना खाता हूँ,ᱩᱱᱠᱩ ᱫᱟᱠᱟᱧ ᱡᱚᱢ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱩᱱᱠᱩ ᱫᱟᱠᱟᱧ ᱡᱚᱢ ᱠᱟᱱᱟ,वे खाना खाता हूँ
hin_Deva,sat_Olck,वे पानी पीता हूँ,ᱩᱱᱠᱩ ᱫᱟᱜ-ᱤᱧ ᱧᱩᱭ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱩᱱᱠᱩ ᱫᱟᱜ-ᱤᱧ ᱧᱩᱭ ᱠᱟᱱᱟ,वे पानी पीता हूँ
hin_Deva,sat_Olck,वे काम करता हूँ,ᱩᱱᱠᱩ ᱠᱟᱹᱢᱤᱧ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ
sat_Olck,hin_Deva,ᱩᱱᱠᱩ ᱠᱟᱹᱢᱤᱧ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ,वे काम करता हूँ
hin_Deva,sat_Olck,वे चित्र बनाता हूँ,ᱩᱱᱠᱩ ᱪᱤᱛᱟᱹᱨᱤᱧ ᱵᱮᱱᱟᱣ ᱮᱫᱟ
sat_Olck,hin_Deva,ᱩᱱᱠᱩ ᱪᱤᱛᱟᱹᱨᱤᱧ ᱵᱮᱱᱟᱣ ᱮᱫᱟ,वे चित्र बनाता हूँ
hin_Deva,sat_Olck,वे दौड़ता हूँ,ᱩᱱᱠᱩ ᱤᱧ ᱫᱟᱹᱲ ᱮᱫᱟ
sat_Olck,hin_Deva,ᱩᱱᱠᱩ ᱤᱧ ᱫᱟᱹᱲ ᱮᱫᱟ,वे दौड़ता हूँ
